Vegetable,Index,Actual,Predicted,Model
Beans,0,400.0,398.9693202164312,VECM
Beans,1,400.0,398.0096413784997,VECM
Beans,2,400.0,397.101888648979,VECM
Beans,3,400.0,396.24340107550734,VECM
Beans,4,400.0,395.43148119113994,VECM
Tomato,0,450.0,540.1948289671487,VECM
Tomato,1,450.0,529.7373139558259,VECM
Tomato,2,400.0,519.551486522744,VECM
Tomato,3,550.0,509.7144651585854,VECM
Tomato,4,550.0,500.2221404620063,VECM
Pumpkin,0,180.0,179.00643448741843,VECM
Pumpkin,1,180.0,177.98744325186763,VECM
Pumpkin,2,160.0,176.9836168040224,VECM
Pumpkin,3,180.0,175.9988917089106,VECM
Pumpkin,4,180.0,175.03316258243305,VECM
Green_chilli,0,550.0,356.96617145987113,VECM
Green_chilli,1,550.0,363.1499477780015,VECM
Green_chilli,2,500.0,369.20584588888005,VECM
Green_chilli,3,350.0,375.09253104892446,VECM
Green_chilli,4,350.0,380.81839864701186,VECM
Potato_(local),0,297.0,292.94387735252116,VAR (Diff)
Potato_(local),1,297.0,-0.2109687370752672,VAR (Diff)
Potato_(local),2,297.0,-0.2890359669541583,VAR (Diff)
Potato_(local),3,293.0,-0.27280429121636235,VAR (Diff)
Potato_(local),4,293.0,-0.2762815523792397,VAR (Diff)
Red_dhal,0,260.0,259.8966737427851,VAR (Diff)
Red_dhal,1,260.0,-0.18291943154503534,VAR (Diff)
Red_dhal,2,260.0,-0.1643860164978735,VAR (Diff)
Red_dhal,3,260.0,-0.16844784077513122,VAR (Diff)
Red_dhal,4,260.0,-0.16755898399513458,VAR (Diff)
Papaw,0,100.0,99.56755449699999,VAR (Diff)
Papaw,1,100.0,-0.8845273507334623,VAR (Diff)
Papaw,2,100.0,-0.5710634168965101,VAR (Diff)
Papaw,3,100.0,-0.28231332231149714,VAR (Diff)
Papaw,4,100.0,-0.31464135436136753,VAR (Diff)
